tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1995182391195849015',"If people want to talk about illegal military orders, are we ready to talk about the unconstitutional mandatory COVID vaccination of soldiers under threat of being kicked out of the military?

Or that one doesn't fit the narrative? 🤔",en,Tweet,2,124,8,27,8083,2025-11-30 20:25:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1995168488256922000',@shaincodes 🔥,qme,Reply,0,1,0,0,83,2025-11-30 19:30:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1995156341334348005',@paoloardoino Great to see the transparency you and the team provide,en,Reply,0,35,0,7,3916,2025-11-30 18:41:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1995151080104054825',"If these two men can find a way to work together, imagine what is possible if the rest of us did the same? https://t.co/oNq26i8diM",en,Tweet,4,150,5,59,21595,2025-11-30 18:21:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G7AtIIiXQAADRLO.jpg
'1995142017760788665',"You can now use software to build AI agents that are always working on your personal finances.

These agents can:

- track your net worth
- analyze your investments
- identify risk in your portfolio
- monitor news that affects your investments
- answer questions about your portfolio
- scenario plan for recessions or asset growth
- analyze your tax returns & suggest improvements
- analyze potential investments for pros/cons
- send you notifications for various developments
- highlight abnormal increases in spending
- update your portfolio values in real-time
- save you time and money in managing your finances

But rather than having to spend hours setting up all of these AI agents yourself, we built @cfosilvia as a free product that has everything already created for you.

You can input your information in minutes and have an army of AI agents working on your behalf immediately.

Welcome to the future of personal finance.

Sign up free here: https://t.co/bMI7hLeciU",en,Tweet,33,93,6,45,24960,2025-11-30 17:44:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1995145649365635344',"@Dreamstateawake You would be surprised at how good Silvia is at analyzing various stocks, especially given the context of your current portfolio (correlations, concentrations, etc)",en,Reply,0,1,0,0,166,2025-11-30 17:59:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1995131349896962421',Worth reading. One of the best ways to understand how American culture was formed over the last 50+ years. https://t.co/q7Uogzra1Q,en,Tweet,33,88,4,36,20681,2025-11-30 17:02:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G7AhYvKXwAAgYTK.jpg
'1994945039147962692',"It is objectively hilarious that some people are upset about the US government killing terrorists caught in the act of breaking the law.

What the hell do you think the rough men ready to conduct violence on your behalf are doing on a daily basis?!

War is a nasty, ugly place where death and destruction is the only common language.

Speak their language or they will continue to ignore our laws.",en,Tweet,26,1227,84,252,87929,2025-11-30 04:42:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1994941019637649526',"For the record, it is now appropriate to put up Christmas trees and start playing Christmas music since Thanksgiving is over.",en,Tweet,1,359,11,44,61508,2025-11-30 04:26:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1994908450862555445',@howard @andrewrsorkin @alex 🔥🔥,qme,Reply,0,10,3,1,884,2025-11-30 02:16:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
