handle,source,school,lang,name,followers,statuses,age_y,statuses_per_y,originals_per_y,asset_hit_rate,probe_n,last_tweet,bio_score,verified,bio
rektcapital,seed,Technical,en,Rekt Capital,562853,47033,8.9,5264,1452,0.97,40,Tue Sep 15 14:32,4,True,Crypto Investor/Analyst  Writes RC Newsletter: https://t.co/pFp14Jbs2r  Follow for level-headed insights on Bitcoin and Altcoins
100trillionUSD,seed+following,Quant,en,PlanB,0,0,,,65,0.88,40,Mon Sep 14 09:32,0,,"All models are wrong, some are useful. DYOR! 👉 https://t.co/4UQOQ8eRA3"
nsquaredvalue,following,,,Timothy Peterson,0,0,,,811,0.82,40,Tue Sep 15 14:35,3,,"Bitcoin Pathfinder | Network Economist | CFA, CAIA Author of ""The Bitcoin Investment Handbook"" & ""Metcalfe's Law as a Model for #Bitcoin's  ₿ Value"""
ki_young_ju,seed,Crypto,en,Ki Young Ju,434316,4444,15.3,290,163,0.78,40,Mon Sep 14 16:40,0,True,Alpha Collector | Founder @CryptoQuant_com
MMCrypto,following,,,MMCrypto,0,0,,,199,0.57,40,Tue Sep 15 09:49,2,,"for #Bitcoin, #BTC, $BTC; for Health: @ChrisMMHealth"
TradeOrNotTrade,following,,,Crypto Yoda,0,0,,,24,0.55,40,Mon Jun 03 09:02,1,,Trend Trader My signals: https://t.co/OuxzgxnGv7🎯 Tradingview profile: https://t.co/qTVK5G00op 📈
wolfcapitalist,following,,,Luis,0,0,,,17,0.53,40,Tue Sep 15 08:49,2,,Investments | Geopolitics | Technology | Stocks | Crypto | AI  Not financial advice
goldtelegraph_,seed,Goldbug,en,,,,,,1098,0.47,40,Tue Sep 01 05:33,,,
saylor,seed,Crypto,en,Michael Saylor,5204541,8222,15.6,526,2048,0.45,40,Tue Sep 15 15:19,2,True,Bitcoin is https://t.co/KbbYe74DgB | $BTC Hodler | @Strategy Founder & Chairman | bio https://t.co/9Zlq0oHYnP | free education https://t.co/4L1s0ix7FE | $MSTR $STRC
citrea_xyz,following,,,Citrea | Mainnet Live 🍊🍋,0,0,,,257,0.45,40,Tue Sep 15 14:14,2,,"Citrea is the Bitcoin's application layer, enabling institutions and users to access Bitcoin capital markets.  Mainnet is Live → https://t.co/prCRpathbk"
caprioleio,seed,Crypto,en,Charles Edwards,132576,8441,8.6,985,287,0.45,40,Mon Sep 14 22:16,1,True,Investor and founder. @Capriole_fund  Posts not investment advice.
WinC300,following,,,WinningCircle,0,0,,,275,0.38,40,Mon Sep 14 18:37,1,,Finansal okuryazarlık ve bilinçli yatırım - 2023 Bitfinex Trade Master Şampiyonu - 2024 OKX Trade Yarışması Türkiye Birincisi - WSOT 2025 Türkiye Birincisi
jsblokland,seed,Macro,en,jeroen blokland,123571,38541,17.2,2237,497,0.38,40,Tue Sep 15 13:58,0,True,Founder of Prestige Investment Partners. Manager of the Blokland Smart Multi-Asset & Sound Money Fund. Scarce assets. Author of The Great Rebalancing.
TedPillows,following,,,Ted,0,0,,,11155,0.33,40,Tue Sep 15 16:20,3,,"Survived 2 crypto cycles. Turning Bitcoin and Ethereum, on-chain data and macro signals into actionable trades. Research: ↓"
laplace2011,seed,Technical,tr,Devrim Akyıl Laplace’s Demon,245411,38434,15.7,2441,667,0.33,40,Mon Sep 14 10:43,2,True,"#DevrimAkyil #Trader #currency #commodity #stocks #indices #PreciousMetals Bogazici University & TAC crossfit,Celtics,Patriots, GS"
zulalmtn,following,,,Zülal Metin Hacıpaşaoğlu,0,0,,,48,0.33,40,Wed Dec 24 16:19,2,,Equity Research Analyst @getmidas🚀 | Instructor @WinC300 💫 | Capital Market Level 3 | Derivatives Licence | Midas Podcast 🎙️
SantManukyan,seed+following,Macro,tr,Şant Manukyan,0,0,,,46,0.33,40,Tue Aug 18 09:18,0,,Uluslararası Piyasalar . Hoca değil öğrenci.
kaanarven,following,,,Kaan Arven,0,0,,,376,0.28,40,Fri Aug 21 10:12,1,,"Bitcoin bir araç, esas olan sistem."
TaviCosta,seed,Macro,en,Otavio (Tavi) Costa,322478,11411,12.2,932,337,0.23,40,Tue Sep 15 03:11,2,True,"Founder & CEO of Azuria Capital LLC. Macro thinker, history student, value-oriented investor. Native of Sao Paulo, Brazil 🇧🇷 E-mail: tavi@azuriacapital.com"
CryptoCred,seed,Technical,en,Cred,837266,28001,9.1,3086,63,0.23,40,Wed Aug 19 22:49,1,True,"Always trader, often shitposter, sometimes educator. @breakoutprop"
AswathDamodaran,following,,,Aswath Damodaran,0,0,,,35,0.23,40,Thu Sep 10 20:18,1,,"Fascinated by finance & markets and like writing about them, but teaching is my passion."
GlobalMktObserv,seed,Quant,en,Global Markets Investor,94449,49267,3.2,15515,8278,0.2,40,Tue Sep 15 15:35,3,True,Global Markets Investor is a financial research platform covering global markets and economies. Founded by a Wall Street equity and macro research professional.
APompliano,seed,Crypto,en,Anthony Pompliano 🌪,2400749,86926,15.2,5731,2430,0.2,40,Tue Sep 15 15:52,1,True,"Entrepreneur, investor, and lifelong learner.  Daily writing: https://t.co/tpCu2xhIBx Podcast: https://t.co/OaOmES2hv1  My second book: https://t.co/2W94vXav7i"
amitisinvesting,following,,,amit,0,0,,,1217,0.2,40,Tue Sep 15 15:44,1,,"breaking down tech, business, & stocks $PLTR"
