handle,source,school,lang,name,followers,statuses,originals_per_y,asset_hit_rate,probe_n,last_tweet,bio_score,bio
rektcapital,seed,Technical,en,Rekt Capital,562853,47033,1452,0.97,40,Tue Sep 15 14:32,4,Crypto Investor/Analyst  Writes RC Newsletter: https://t.co/pFp14Jbs2r  Follow for level-headed insights on Bitcoin and Altcoins
BitcoinFear,following,,,Bitcoin Fear and Greed Index,0,0,223,0.9,40,Thu Sep 10 01:00,0,sometimes accurate
100trillionUSD,seed+following,Quant,en,PlanB,0,0,65,0.88,40,Mon Sep 14 09:32,0,"All models are wrong, some are useful. DYOR! 👉 https://t.co/4UQOQ8eRA3"
nsquaredvalue,following,,,Timothy Peterson,0,0,811,0.82,40,Tue Sep 15 14:35,3,"Bitcoin Pathfinder | Network Economist | CFA, CAIA Author of ""The Bitcoin Investment Handbook"" & ""Metcalfe's Law as a Model for #Bitcoin's  ₿ Value"""
ki_young_ju,seed,Crypto,en,Ki Young Ju,434316,4444,163,0.78,40,Mon Sep 14 16:40,0,Alpha Collector | Founder @CryptoQuant_com
MMCrypto,following,,,MMCrypto,0,0,199,0.57,40,Tue Sep 15 09:49,2,"for #Bitcoin, #BTC, $BTC; for Health: @ChrisMMHealth"
TradeOrNotTrade,following,,,Crypto Yoda,0,0,24,0.55,40,Mon Jun 03 09:02,1,Trend Trader My signals: https://t.co/OuxzgxnGv7🎯 Tradingview profile: https://t.co/qTVK5G00op 📈
wolfcapitalist,following,,,Luis,0,0,17,0.53,40,Tue Sep 15 08:49,2,Investments | Geopolitics | Technology | Stocks | Crypto | AI  Not financial advice
goldtelegraph_,seed,Goldbug,en,,,,1098,0.47,40,Tue Sep 01 05:33,,
saylor,seed,Crypto,en,Michael Saylor,5204541,8222,2048,0.45,40,Tue Sep 15 15:19,2,Bitcoin is https://t.co/KbbYe74DgB | $BTC Hodler | @Strategy Founder & Chairman | bio https://t.co/9Zlq0oHYnP | free education https://t.co/4L1s0ix7FE | $MSTR $STRC
caprioleio,seed,Crypto,en,Charles Edwards,132576,8441,287,0.45,40,Mon Sep 14 22:16,1,Investor and founder. @Capriole_fund  Posts not investment advice.
citrea_xyz,following,,,Citrea | Mainnet Live 🍊🍋,0,0,257,0.45,40,Tue Sep 15 14:14,2,"Citrea is the Bitcoin's application layer, enabling institutions and users to access Bitcoin capital markets.  Mainnet is Live → https://t.co/prCRpathbk"
jsblokland,seed,Macro,en,jeroen blokland,123571,38541,497,0.38,40,Tue Sep 15 13:58,0,Founder of Prestige Investment Partners. Manager of the Blokland Smart Multi-Asset & Sound Money Fund. Scarce assets. Author of The Great Rebalancing.
